KdNr;Kurzname;Name1;Name2;KdId;Status;
"500";"OTTO Office";"OTTO Office GmbH & Co. KG";;"981";"aktiv";
"500";"Harms";"Harms Bürotechnik + Einrichtung";;"980";"aktiv";
"459";"MCS";"MCS Arzt- und Ambulanzsysteme GmbH";;"979";"inaktiv";
"560";"Nordhausen";"Südharz-Krankenhaus Nordhausen gGmbH";;"978";"inaktiv";
"547";"REDCOM";"REDCOM Medizincontrolling GmbH";;"1184";"inaktiv";
"1520";"KKH Erfurt";"Katholisches Krankenhaus St. Johann Nepomuk";"Akademisches Lehrkrankenhaus des Universitätsklinikums Jena";"977";"aktiv";
"1422";"QlikTech Schweiz";"QlikTech GmbH, Düsseldorf ";"Zweigniederlassung Zürich";"976";"aktiv";
"500";"Neurozentrum Niedersachsen";"Dr. Becker Neurozentrum Novacura GmbH & Co.KG";;"975";"inaktiv";
"463";"Witten";"Ev. Krankenhaus Witten gGmbH";;"974";"aktiv";
"500";"Breberen";"Seniorenzentrum Breberen";;"973";"inaktiv";
"500";"Akkurat";"Akkurat Dienstleistungs GmbH";;"972";"inaktiv";
"500";"Hospital Partners";"Hospital Partners AG";;"971";"inaktiv";
"486";"Klinikum Itzehoe";"Klinikum Itzehoe";;"970";"inaktiv";
"500";"Mang Medical One";"Mang Medical One AG";;"969";"inaktiv";
"709";"Artemed";"Artemed SE";;"967";"aktiv";
"500";"Eifelklinik";"Eifelklinik St. Brigida GmbH & Co. KG";;"966";"inaktiv";
"1246";"Telekom";"Telekom Deutschland GmbH";;"965";"inaktiv";
"458";"Rüdersdorf";"Immanuel Klinik Rüdersdorf";;"964";"aktiv";
"500";"Planegg";"Urologische Klinik";"Dr. Castringius";"962";"inaktiv";
"500";"ITW";"ITW Befestigungsanlagen GmbH ";"Spit";"961";"inaktiv";
"454";"KHZV";"Krankenhauszweckverband Rheinland e. V.";;"960";"inaktiv";
"456";"Herzzentrum Berlin";"Deutsches Herzzentrum der Charite ";;"959";"aktiv";
"453";"JOMEC";"JOMEC GmbH";;"958";"inaktiv";
"500";"Mammographie Münster";"Referenzzentrum Mammographie am Universitätsklinikum Münster";;"957";"inaktiv";
"500";"QCS";"QCS Quality Computer Support GmbH";;"956";"aktiv";
"1304";"Curagita";"Curagita AG";;"955";"aktiv";
"500";"KCI-Europe Holding";"KCI Europe Holding";;"954";"inaktiv";
"500";"WERBEDISPLAY Systeme GmbH";"WERBEDISPLAY Systeme GmbH";;"953";"aktiv";
"500";"AHG Kliniken";"AHG Allgemeine Hospitalgesellschaft AG ";;"952";"inaktiv";
"500";"Alpha Computer GmbH";"Alpha Computer GmbH";;"951";"aktiv";
"500";"Sulzbach-Rosenberg";"St. Anna Krankenhaus";;"950";"inaktiv";
"460";"Graubünden";"Kantonsspital Graubünden";;"949";"aktiv";
"500";"KKRN Haltern";"KKRN St. Sixtus-Hospital Haltern am See";;"948";"inaktiv";
"500";"KKRN Dorsten";"KKRN St. Elisabeth-Krankenhaus Dorsten";;"947";"inaktiv";
"500";"KKRN Marl";"KKRN Marien-Hospital Marl";;"946";"inaktiv";
"500";"KKRN Westerholt";"KKRN Gertrudis-Hospital Westerholt";;"945";"inaktiv";
"500";"St. Jude Medical";"St. Jude Medical";;"944";"inaktiv";
;"AKDB Oberpfalz";"AKDB";"Geschäftsstelle Oberpfalz";"942";"inaktiv";
"613";"Fresenius ";"Fresenius Medical Care AG & Co. KGaA";;"941";"aktiv";
"449";"MARKREKOM";"MARKREKOM ";"W. Schickler";"940";"aktiv";
"500";"Inaktiv: AMEOS Halberstadt, Zweigstelle Zürich";"AMEOS Spitalgesellschaft Halberstadt, Zweigstelle Zürich";;"938";"inaktiv";
"479";"Uni Ulm";"Universitätsklinikum Ulm";;"937";"aktiv";
"500";"Klinikum Glauchau";"Rudolf Virchow Klinikum Glauchau";;"936";"inaktiv";
"472";"Uniklinik Erlangen";"Universitätsklinikum Erlangen";;"935";"aktiv";
"500";"JoHo Geesthacht";"Johanniter-Gesellschaft für Krankenpflege im Kreis Herzogtum Lauenburg Gemeinnützige Betriebs-GmbH";;"933";"inaktiv";
"500";"Limbas";"Limbas GmbH";;"932";"aktiv";
"448";"Radiologie Regensburg";"Dr. Neumaier MVZ GmbH";;"931";"inaktiv";
"500";"Klinikum Bremerhaven";"Klinikum Bremerhaven-Reinkenheide gGmbH";;"930";"inaktiv";
"500";"Fürstenfeldbruck";"Klinikum Fürstenfeldbruck";;"929";"inaktiv";
"799";"AMEOS Hildesheim";"AMEOS Krankenhausgesellschaft";"Niedersachsen mbH";"928";"aktiv";
"500";"AMEOS Heiligenhafen";"AMEOS Klinikum Heiligenhafen";;"927";"aktiv";
"450";"AMEOS Halberstadt";"AMEOS Klinikum Halberstadt GmbH";;"926";"aktiv";
"500";"AMEOS Osnabrück";"AMEOS Klinikum Osnabrück";;"925";"aktiv";
"500";"Kliniken Cham";"Die Kliniken des Landkreises Cham gGmbH";;"924";"inaktiv";
"1301";"KKRN";"Katholisches Klinikum Ruhrgebiet Nord GmbH";;"922";"aktiv";
"500";"Multiauskunftei";"Deutsche Multiauskunftei GmbH";;"921";"aktiv";
"471";"AMEOS Kaiserstuhl";"AMEOS Krankenhaus Dr. Lay Vogtsburg";;"920";"aktiv";
"446";"AMEOS Alfeld";"AMEOS Klinikum Alfeld";;"919";"aktiv";
"500";"NordControl";"NordCONTROL GmbH";;"918";"inaktiv";
"500";"Kabel Deutschland";"Kabel Deutschland Vertrieb und Service GmbH";;"917";"aktiv";
"445";"MVZ Westerwald";"MVZ Westerwald GmbH";;"916";"aktiv";
"500";"CABLEWAY";"CABLEWAY Nord GmbH";;"915";"aktiv";
"464";"BKH Landshut";"Bezirkskrankenhaus Landshut";;"914";"aktiv";
"1346";"Plettenberg";"Krankenhaus Plettenberg gGmbH";;"913";"inaktiv";
"466";"Mölnlycke";"Mölnlycke Health Care GmbH";;"912";"inaktiv";
"791";"Esslingen";"Klinikum Esslingen GmbH";;"910";"aktiv";
"500";"HSE";"HEAG Südhessische Energie AG";;"909";"inaktiv";
"500";"Kress";"Kundenservice Haymarket";;"908";"inaktiv";
"665";"Franziskus Linz";"Franziskus Krankenhaus Linz am Rhein";;"906";"inaktiv";
"500";"Bad Krozingen";"Herz-Zentrum Bad Krozingen";;"905";"inaktiv";
"500";"dimensional";"dimensional GmbH";;"904";"inaktiv";
;"Aschaffenburg";"Klinikum Aschaffenburg";;"903";"inaktiv";
"614";"Consurance ";"Consurance GmbH";;"902";"aktiv";
"441";"Flügel GmbH";"Flügel GmbH";"OT. Förste";"901";"inaktiv";
"500";"Coswig ";"Fachkrankenhaus Coswig GmbH";;"900";"inaktiv";
"500";"Recura Kliniken";"RECURA Kliniken GmbH";;"899";"inaktiv";
"554";"Lüneburg";"Psychiatrische Klinik Lüneburg gemeinnützige GmbH	";"Zentrum für Psychiatrie, Psychotherapie und Psychosomatik";"898";"aktiv";
"500";"SLK-Kliniken Heilbronn";"SLK-Kliniken Heilbronn GmbH";;"897";"inaktiv";
;"Uster";"Spital Uster";;"896";"inaktiv";
;"Uni Münster IT";"Universitätsklinikum Münster";"Geschäftstbereich IT";"894";"inaktiv";
;"eNovation";"HighCoordination GmbH";;"893";"aktiv";
"439";"Damp Wismar";"Sana Hanse-Klinikum Wismar GmbH";;"892";"aktiv";
"594";"Asklepios Birkenwerder";"Asklepios Klinik Birkenwerder ";"Betriebsstätte der Asklepios Klinik Wiesbaden GmbH ";"1219";"inaktiv";
;"Soltau";"Heidekreis-Klinikum GmbH";;"891";"inaktiv";
"436";"RD MedCon";"RDMedCon GmbH & Co.KG";;"890";"inaktiv";
"443";"ANDREE CONSULT";"ANDREE CONSULT GmbH";;"889";"aktiv";
;"LABERTALER";"LABERTALER Heil- und Mineralquellen Getränke Hausler GmbH";;"888";"inaktiv";
;"test 34";"test ";;"887";"inaktiv";
"500";"Martha-Maria Halle-Dölau";"Krankenhaus Martha-Maria Halle-Dölau";;"886";"inaktiv";
;"Test 123";"Test 12";;"885";"inaktiv";
"444";"RadPrax";"radprax Holding GmbH & Co. KG ";;"884";"aktiv";
"434";"Boehringer Biberach";"Boehringer Ingelheim Pharma GmbH & CoKG";;"883";"inaktiv";
;"Heyde (Schweiz) AG";"Heyde (Schweiz) AG";;"882";"aktiv";
"438";"Ruhrlandklinik";"Ruhrlandklinik";"Westdeutsches Lungenzentrum";"881";"inaktiv";
"549";"Radiologie Itzehoe";"Radiologische Praxen am Klinikum Itzehoe";;"880";"inaktiv";
"440";"Isarkliniken";"Isar Kliniken GmbH";;"879";"aktiv";
"500";"Krupp Krankenhaus";"Alfried Krupp Krankenhaus";;"878";"aktiv";
"428";"Rhein-Sieg-Kreis";"Rhein-Sieg-Kreis";"Der Landrat 32.22 -Kreisleitstelle Rhein-Sieg-";"877";"inaktiv";
"500";"St. Marienkrankenhaus Ludwigshafen";"St. Marien- und St. Annastiftskrankenhaus";;"876";"inaktiv";
"668";"AMEOS IT";"AMEOS Rechenzentrum";;"875";"aktiv";
"812";"ree-management";"REE! Managementgesellschaft mbH";;"1413";"inaktiv";
"427";"MVZ RADIO-LOG";"MVZ RADIO-LOG";;"874";"inaktiv";
"500";"Plusbyte-Software";"Firma Plusbyte Software";;"872";"aktiv";
"500";"Mammographie Ludwigshafen";"Mammographie-Screening Pfalz";;"871";"aktiv";
"500";"Lebenswege Berlin";"Lebenswege für Menschen mit Behinderung gGmbH";;"870";"aktiv";
"500";"Franziskus Berlin";"Franziskus-Krankenhaus Berlin";;"869";"inaktiv";
"491";"AMEOS Spital";"AMEOS Spitalgesellschaft mbH";;"868";"aktiv";
"469";"Visbal";"Thorsten Visbal";"coaching. beratung. organisationsentwicklung.";"867";"aktiv";
"500";"imland";"imland GmbH";;"866";"aktiv";
;"Step Ahead AG";"Step Ahead AG";;"865";"aktiv";
"451";"USZ";"Universitätsspital Zürich ";;"864";"aktiv";
"500";"Asklepios MVZ";"Asklepios MVZ Nord GmbH";;"862";"aktiv";
"500";"WIdO";"Wissenschaftliches Institut der AOK";;"861";"aktiv";
"461";"Solingen Gotenstraße";"STÄDTISCHES KLINIKUM SOLINGEN ";"gemeinnützige GmbH";"860";"aktiv";
"500";"Bad Bramstedt";"KLINIKUM BAD BRAMSTEDT";;"859";"inaktiv";
"442";"Mammographie Nord";"Referenzzentrum Mammographie Nord";;"858";"aktiv";
"500";"Segmüller";"Segmüller";;"857";"inaktiv";
"421";"Barkassen-Meyer";"Schiffsvermietung Barkassen-Meyer Touristik GmbH & Co.KG";;"856";"aktiv";
"420";"Nord Event GmbH";"Nord Event GmbH";;"855";"aktiv";
"500";"GANZIMMUN";"GANZIMMUN AG";;"854";"inaktiv";
"500";"Roeser Medical";"Roeser Medical GmbH";;"853";"inaktiv";
"500";"Gesundheitsforen Leipzig GmbH";"Gesundheitsforen Leipzig GmbH";;"852";"inaktiv";
"500";"Lebenshilfe";"Haus der Lebenshilfe gemeinnützige Gesellschaft m.b.H.";;"851";"aktiv";
"500";"Beelitz";"Kliniken Beelitz GmbH";"Neurologische Rehabilitationsklinik";"850";"inaktiv";
"500";"Verbundklinikum Landkreis Ansbach";"Verbundklinikum Landkreis Ansbach";;"849";"aktiv";
"437";"Weissenhof";"Klinikum am Weissenhof";"Akademisches Lehrkrankenhaus der Universität Heidelberg";"848";"aktiv";
"593";"Procceads";"Procceads";"GbR Hommel & Hommel";"847";"inaktiv";
"1322";"Rhön Konzern-IT";"RHÖN-KLINIKUM AG";"Konzern-IT";"846";"aktiv";
"500";"Timbuktu";"Timbuktu gGmbH2";;"845";"inaktiv";
"500";"Neuer Kunde 4";"Neuer Kunde 4";;"843";"inaktiv";
"500";"Neuer Kunde 3";"Neuer Kunde 3";;"842";"inaktiv";
"500";"Neuer Kunde 2a";"Neuer Kunde 2";;"841";"inaktiv";
"500";"Neuer Kunde....";"Neuer Kunde....";;"840";"inaktiv";
"500";"Anlagen";"Anlagen";;"839";"inaktiv";
"500";"Hotel Commodore";"Hotel Commodore";;"838";"aktiv";
"500";"CharitéCentrum 09";"CharitéCentrum 09 für Unfall- und Wiederherstellungschirurgie";"Charité - Universitätsmedizin Berlin";"837";"inaktiv";
"768";"Josephstift Dresden";"Krankenhaus St. Joseph-Stift Dresden ";;"836";"inaktiv";
"500";"Dreamteam";"Dreamteam Solutions GmbH";;"835";"aktiv";
"500";"Nexus";"NEXUS / DIS GmbH";;"834";"aktiv";
"426";"Lörrach";"Kliniken des Landkreises Lörrach GmbH";;"833";"aktiv";
"432";"AOK Bundesverband";"AOK-Bundesverband GbR";;"832";"inaktiv";
"500";"Ategris";"Ategris GmbH ";;"831";"inaktiv";
;"ADN";"ADN Distribution GmbH";;"830";"inaktiv";
"500";"Stefan";"Stefan Kruppa";;"826";"aktiv";
"500";"RA Reinhard Schemel";;;"825";"aktiv";
"500";"ISP proShop";"ISP proShop";;"824";"aktiv";
"500";"Fegro";"Fegro Norderstedt";;"823";"aktiv";
;"Test";"Testkunde";;"819";"inaktiv";
"419";"Darmstadt";"Klinikum Darmstadt GmbH";;"818";"aktiv";
"672";"LeitArt";"LeitArt Gesellschaft für Mittelstandskybernetik mbH";;"1289";"inaktiv";
"500";"Acura";"ACURA Kliniken Baden-Baden";;"817";"inaktiv";
"500";"RWE";"RWE IT GmbH ";;"816";"inaktiv";
"414";"Landkreis Limburg";"Landkreis Limburg-Weiburg";"Der Kreisausschuss - Gesundheitsamt";"815";"inaktiv";
"500";"Oldenburg";"Klinikum Oldenburg";;"814";"inaktiv";
"412";"Referenzzentrum Mammographie Berlin";"Referenzzentrum Mammographie Berlin";"Sachsendamm 6–7";"813";"aktiv";
"416";"Diakonie Schwäbisch Hall";"Diakonie-Klinikum Schwäbisch Hall gGmbH";;"812";"aktiv";
"418";"Kiel";"Städtisches Krankenhaus Kiel";;"811";"aktiv";
"500";"Auerbach";"St. Johannes Klinik Auerbach ";;"1067";"inaktiv";
"405";"Helios Medigreif Burg";" Krankenhaus Jerichower Land GmbH";;"810";"aktiv";
;"Ohm & Partner";"Ohm & Partner";;"809";"inaktiv";
;"Ministerium des Innern und für Sport Rheinland-Pfalz";"Ministerium des Innern und für Sport Rheinland-Pfalz";;"808";"inaktiv";
"477";"Kaiserswerther Diakonie";"Kaiserswerther Diakonie";;"807";"aktiv";
"455";"KCI";"KCI Medizinprodukte GmbH";;"806";"inaktiv";
"406";"Uni Halle";"Universitätsklinikum Halle (Saale)";;"804";"inaktiv";
"23";"Schmees Ladenbau";"Schmees-Ladenbau GmbH";;"803";"inaktiv";
"407";"UKE";"Universitätsklinikum Hamburg-Eppendorf";;"802";"aktiv";
"401";"Integrata";"Integrata AG ";;"801";"inaktiv";
;"Rettungsdienst Mittelhessen";"DRK Rettungsdienst-Mittelhessen";;"800";"inaktiv";
"403";"Gesundheitszentren Rottweil";"Gesundheitszentren Landkreis Rottweil GmbH";;"799";"inaktiv";
;"Informations- und Technologiecenter";"DRK-Informations- und Technologie-Center";;"798";"aktiv";
"408";"CSAV";"COMPANIA SUDAMERICANA de VAPORES GmbH";;"797";"inaktiv";
;"Sana IT Stuttgart";"Sana IT Services GmbH";"c/o Karl-Olga-Krankenhaus GmbH";"796";"aktiv";
"425";"LWL Herten";"Landschaftsverband Westfalen-Lippe (LWL)";"LWL-Universitätsklinik Bochum und LWL-Klinik Herten";"795";"aktiv";
"398";"Sana Stuttgart";"Sana Herzchirurgie Stuttgart GmbH ";;"794";"aktiv";
"400";"Toshiba Regensburg";"Toshiba Europe GmbH";"Technology & Service Center";"793";"inaktiv";
"500";"Gummersbach";"Klinikum Oberberg GmbH";;"792";"inaktiv";
"423";"JoHo Dortmund";"St.-Johannes Hospital";;"791";"aktiv";
"500";"Harder";"Kanzlei Ralf F. Harder";;"790";"aktiv";
"500";"Vaillant Remscheid";"Vaillant GmbH";;"789";"aktiv";
"500";"Viersen";"AKH Viersen GmbH";;"788";"aktiv";
"500";"telegate";"telegate MEDIA AG";;"787";"aktiv";
"395";"Marien Hospital Düsseldorf";"Marien Hospital Düsseldorf";;"786";"aktiv";
"500";"Galenus";"Galenus Informatik GmbH";;"785";"inaktiv";
"394";"VKKD";"Verbund Katholischer Kliniken Düsseldorf gGmbH";;"784";"aktiv";
"500";"KET";"KET Technologie-Consulting";;"783";"inaktiv";
"500";"UNITY";"UNITY AG";;"782";"aktiv";
"500";"Insigma";"INSIGMA IT Engineering GmbH";;"781";"aktiv";
"500";"KV Brandenburg";"Kassenärztliche Vereinigung Brandenburg";;"780";"aktiv";
"413";"geomed";"Geomed Research Forschungsgesellschaft mbH";;"779";"inaktiv";
"388";"Waldeck-Frankenberg";"Landkreis Waldeck-Frankenberg";"Fachdienst Brandschutz, Rettungsdienst und Katastrophenschutz";"778";"inaktiv";
"387";"Remagen";"Krankenhaus Maria Stern";;"777";"inaktiv";
"500";"Capral";"CAPRAL Clinic Consulting GmbH";;"776";"inaktiv";
"402";"Radiologie Lüdenscheid";"Radiologische Gemeinschaftspraxis Lüdenscheid";;"775";"inaktiv";
"500";"holidayklinik test";"holidayklinik testhaus";;"774";"aktiv";
"404";"Helios MEDIGREIF Oschersleben";"HELIOS Bördeklinik GmbH";;"773";"aktiv";
"500";"Bibliomed";"Bibliomed Medizinische Verlags-GmbH";;"772";"aktiv";
"500";"St. Anna Herne";"St. Anna Hospital";;"771";"aktiv";
"500";"Dreifaltigkeits-Hospital Lippstadt";"Dreifaltigkeits-Hospital Lippstadt gem. GmbH";;"770";"inaktiv";
"392";"Uni Jena";"Universitätsklinikum Jena";;"769";"aktiv";
"500";"Freiberger";"Freiberger Holding GmbH";;"768";"inaktiv";
"385";"Unna";"Katholischer Hospitalverbund Hellweg gGmbH";;"767";"aktiv";
"500";"Albertinen Krankenhaus";"Albertinen-Zentrale Dienste GmbH";"Ein Unternehmen der Albertinen-Gruppe";"766";"inaktiv";
"429";"SRH Neresheim";"SRH Fachkrankenhaus Neresheim GmbH";;"765";"inaktiv";
"386";"LWL Dortmund";"LWL Klinik Dortmund";;"764";"aktiv";
"431";"KV-IT GmbH";"KV-IT GmbH";"IT-Gesellschaft für integrierte Services im Gesundheitswesen";"763";"inaktiv";
"383";"Bad Wimpfen";"SRH Gesundheitszentrum Bad Wimpfen gGmbH";;"762";"inaktiv";
"500";"WFP";"Wirtschaftsberatung und Financial Planning GmbH & Co. KG";;"761";"aktiv";
"381";"Kreysch-Consulting";"Dr. Kreysch Clinical Consulting GmbH";;"760";"aktiv";
"500";"Tamara";"Tamara Neumann";;"759";"aktiv";
"500";"Peter";"Peter Molitor";;"758";"aktiv";
"500";"Mitschke, Guido";"Guido Mitschke";;"757";"aktiv";
"500";"Pablo";"Pablo Kuehnel";;"756";"aktiv";
"500";"Michael";"Michael Gottschalk";;"755";"aktiv";
"500";"Jonathan";"Jonathan Gaede";;"754";"aktiv";
"500";"Maike";"Maike Gaede";;"753";"aktiv";
"500";"Nicole";"Nicole Bruckhoff";;"752";"aktiv";
"500";"Suse";"Susanne Barknowitz";;"751";"aktiv";
"500";"Tim";"Tim Aschenberg";;"750";"aktiv";
"380";"Eisenkolb";"Jürgen Eisenkolb Unternehmensberatung";;"749";"inaktiv";
"1338";"Theobald Software GmbH";"Theobald Software GmbH";;"748";"aktiv";
"500";"Klemens";"Klemens Wittig";;"747";"aktiv";
"500";"GEZ";"Gebühreneinzugszentrale der öffentlich-rechtlichen";"Rundfunkanstalten in der Bundesrepublik Deutschland";"746";"aktiv";
"430";"Uni Essen";"Universitätsklinikum Essen";;"745";"aktiv";
"435";"RDI Rechts der Isar München";"Klinikum der Technischen Universität München (TUM Klinikum)";"Klinikum rechts der Isar";"744";"aktiv";
"500";"Webbilling";"Webbilling B.V.";"Gesellschaft zur Entwicklung von elektronischen Zahlungssysteme mbH";"743";"aktiv";
"758";"Georg August";"Georg August Universität Göttingen";;"742";"aktiv";
"376";"RRZ Meerbusch";"RHEINISCHES RHEUMA-ZENTRUM";"St. Elisabeth-Hospital";"741";"inaktiv";
"500";"T-Mobile";"T-Mobile Deutschland GmbH";;"739";"aktiv";
"500";"TeamViewer";"TeamViewer GmbH";;"738";"aktiv";
"500";"simplefacts";"simplefacts IT-Solution GmbH";;"737";"inaktiv";
"500";"Mercateo";"Mercateo AG";;"736";"aktiv";
"500";"simply";"simply Communikation GmbH";;"734";"aktiv";
"465";"LMU";"LMU Klinikum";;"733";"aktiv";
"500";"Clipdealer";"Clipdealer GmbH";;"732";"inaktiv";
"500";"Alice";"Alice HanseNet Telekommunikations GmbH";;"731";"aktiv";
"500";"1&1";"1&1 Internet AG";;"730";"aktiv";
"374";"sgh";"sgh consulting Susanne Guthoff-Hagen e.K";;"729";"aktiv";
"927";"Klipa Aichach";"Kliniken an der Paar";"Krankenhaus Aichach";"728";"aktiv";
"500";"Bundesanzeiger";"Bundesanzeiger Verlagsges.mbH";;"727";"aktiv";
"500";"UEK Aurich";"Ubbo-Emmius-Klinik gGmbH";;"726";"inaktiv";
"500";"OptiMed";"OptiMed Medizinische Instrumente GmbH";;"725";"aktiv";
"500";"MBtech";"MBtech Group GmbH & Co. KGaA";;"724";"aktiv";
"500";"HELIOS Northeim";"HELIOS Albert-Schweitzer-Klinik Northeim";;"723";"aktiv";
"553";"Herz Bad Oeynhausen";"Herz- und Diabeteszentrum NRW";"Universitätsklinik der Ruhr-Universität Bochum";"1188";"aktiv";
"399";"AMEOS";"Ameos Gruppe AG";;"722";"aktiv";
"500";"KKH Bergstrasse";"Kreiskrankenhaus Bergstraße gemeinnützige GmbH";;"720";"aktiv";
"500";"Landkreis Schaumburg";"Landkreis Schaumburg";"Leitstelle";"719";"inaktiv";
"389";"Rems-Murr-Klinik";"Rems-Murr-Klinik Winnenden";;"718";"aktiv";
"821";"Hochschule Hof";"Hochschule Hof";;"1422";"inaktiv";
"500";"DRK Pforzheim-Enzkreis";"DRK Kreisverband Pforzheim-Enzkreis e.V.";;"717";"aktiv";
"371";"Heimat Krankenkasse (BKK Dr. Oetker)";"Heimat Krankenkasse";;"716";"aktiv";
"500";"Schüchtermann Klinik";"Schüchtermann-Schiller\\'sche Kliniken";"Bad Rothenfelde GmbH & Co.KG";"715";"inaktiv";
"500";"Medical Park";"Medical Park AG";;"714";"aktiv";
"397";"LWL Bochum";"LWL-Universitätsklinik Bochum";;"713";"aktiv";
"500";"COOP";"COOP integral Software GmbH";;"711";"inaktiv";
"378";"Bahn BKK";"BAHN-BKK";;"710";"inaktiv";
"500";"Kaiser Consulting";"Kaiser Consulting";;"709";"aktiv";
"500";"Dierk Immobilien";"Dierk Immobilien";"Claudia Immobilienmaklerin";"708";"inaktiv";
"369";"BGU Duisburg";"Berufsgenossenschaftliche Unfallklinik Duisburg GmbH";;"707";"aktiv";
"500";"Buchholz";"Krankenhaus Buchholz und Winsen gemeinnützige GmbH";;"706";"inaktiv";
"500";"Krankenhaus Mittweida";"Landkreis Mittweida Krankenhaus gGmbH";;"705";"aktiv";
"422";"Uni Greifswald";"Universitätsmedizin Greifswald";"Körperschaft des öffentlichen Rechts ";"704";"aktiv";
"500";"MHB Bottrop";"Marienhospital Bottrop gGmbH";;"1103";"inaktiv";
"370";"Klinikum Görlitz";"Staedtisches Klinikum Görlitz gGmbH";;"703";"inaktiv";
"411";"Rotenburg";"Kreiskrankenhaus Rotenburg a. d. Fulda Betriebs GmbH";;"702";"aktiv";
"500";"elbamed";"elbamed GmbH";;"701";"aktiv";
"366";"LWL.IT";"Landschaftsverband Westfalen-Lippe LWL.IT";;"699";"aktiv";
"500";"ENTEGA";"ENTEGA Service GmbH";;"698";"inaktiv";
"500";"StandardIT Solutions";"StandardIT Solutions GmbH";;"697";"aktiv";
"393";"Sana Remscheid";"Sana-Klinikum Remscheid GmbH";;"694";"aktiv";
"368";"Visasys";"VisasysDE GmbH";;"693";"aktiv";
"500";"IGES";"IGES Institut";;"691";"aktiv";
"480";"MDK Nordrhein";"MDK Nordrhein";;"690";"inaktiv";
"500";"Österreichische Volksbank";"Österreichische Volksbank AG";;"689";"aktiv";
"365";"Caritas Mainz";"Caritas-Werk St. Martin";"Gemeinnützige Träger- und Betriebsführungsgesellschaft mbH";"688";"inaktiv";
"373";"FH Gießen";"Technische Hochschule Mittelhessen";;"687";"inaktiv";
"500";"Gewerbeschule";"Staatliche Gewerbschule 18 - Klasse IT9b";"für Informations- und Elektrotechnik,Chemie- und Automatisierungstechnik";"686";"aktiv";
"424";"DtoD";"Data to Decision AG";;"685";"aktiv";
"500";"Arsago";"arsago Real Estate Management GmbH";;"684";"inaktiv";
"360";"DFG";"DFG-Beratungs- und Betriebführungsgesellschaft mbH";;"683";"inaktiv";
"377";"LWL Lengerich";"LWL-Klinik Lengerich";;"682";"aktiv";
"359";"LWL Klinik Münster";"LWL Klinik Münster";;"681";"aktiv";
"500";"Pius-Hospital";"Pius-Hospital Oldenburg";;"680";"inaktiv";
"500";"Radiologische Allianz";"Radiologische Allianz Hamburg";;"679";"inaktiv";
"500";"HELIOS Eisleben";"HELIOS Eisleben";;"678";"aktiv";
"358";"HELIOS Sangerhausen";"HELIOS Klinik Sangerhausen";;"677";"aktiv";
"384";"Klinikum Herford";"Klinikum Herford AöR";;"675";"aktiv";
"500";"Labor Düsseldorf";"Medizinische Laboratorien Düsseldorf";;"674";"aktiv";
"355";"Feldkirch";"Landeskrankenhaus Feldkirch";;"673";"inaktiv";
"500";"HELIOS IT Service GmbH";"HELIOS IT Service GmbH";;"672";"aktiv";
"500";"GLG";"Gesellschaft für Leben und Gesundheit mbH";;"671";"inaktiv";
"356";"Gütersloh";"Klinikum Gütersloh gGmbH";;"670";"aktiv";
